NAME,LOCALITY,GDA_LAT,GDA_LONG
207 MILE CAMP,Place Name,-22.78759,119.62749
45 MILE OUTCAMP,Place Name,-29.35637,120.52664
6 MILE GAP,Place Name,-17.90611,126.43392
9 ACRE ROCK,Place Name,-32.39684,117.11745
913 MILE,Place Name,-31.00729,124.65403
ABBOTTS TRIG HILL,Mountain / Peak / Hill,-26.31657,118.40835
ABEDNEGNO HILL,Mountain / Peak / Hill,-28.77461,121.81298
ABERNYTE,Homestead,-35.03385,117.53501
ABNEY HILL,Mountain / Peak / Hill,-15.73261,128.75167
ABRAKURRIE CAVE,Place Name,-31.6572,128.4898
ABYDOS,Place Name,-21.4103,118.92909
ABYDOS SIDING,Place Name,-21.42616,118.92543
ABYSSINIA ROCK,Place Name,-32.23626,116.29279
ACTON PARK,Place Name,-33.76812,115.38101
ADAM RANGE,Place Name,-28.36433,122.61432
ADAM ROCK,Place Name,-33.06272,117.55741
ADCOCK GORGE,Gorge,-16.92587,125.77882
ADDINGTON,Place Name,-32.06316,116.83915
ADIEU POINT,Cape / Headland / Point,-15.24617,124.57086
ADMIRAL BAY,Bay / Inlet / Cove,-18.76528,121.6372
ADMIRAL HILL,Mountain / Peak / Hill,-28.55843,122.47491
ADMIRALTY GULF,Bay / Inlet / Cove,-14.16455,126.03569
ADMIRALTY GULF,Place Name,-14.27064,125.8863
ADOLPHUS ISLAND,Waterbody Island,-15.1207,128.15113
AFGHAN CAMP,Place Name,-17.13611,126.44737
AFGHAN ROCK,Place Name,-27.13078,117.72285
AGNEW,Place Name,-28.01088,120.51616
AGNEW BLUFF,Mountain / Peak / Hill,-28.02696,120.53518
AGNEW POINT,Cape / Headland / Point,-15.06379,128.10145
AGRIPPA RIDGE,Place Name,-21.31836,119.28773
AINSLIE GORGE,Gorge,-26.24084,126.66427
AINSLIE HILL,Mountain / Peak / Hill,-26.19352,126.69746
AIREY HILL,Mountain / Peak / Hill,-23.05751,113.86445
AJANA,Place Name,-27.94972,114.63945
ALBANY,Populated Place,-35.0031,117.86595
ALBERT EDWARD RANGE,Place Name,-18.27472,127.98251
ALBERT ISLANDS,Place Name,-14.51815,124.89975
ALBION DOWNS,Homestead,-27.28967,120.39336
ALBION DOWNS WATER BASIN,Place Name,-27.65665,120.47271
ALCOA,Place Name,-32.18236,115.7755
ALDERSYDE,Place Name,-32.37308,117.28099
ALDRIDGE COVE,Bay / Inlet / Cove,-35.04982,116.64655
ALEC ROSS RANGE,Place Name,-22.02526,128.75252
ALEXANDER BAY,Bay / Inlet / Cove,-33.88309,122.76929
ALEXANDER HILL,Mountain / Peak / Hill,-33.88587,122.85161
ALEXANDER ISLAND,Waterbody Island,-33.3111,115.70232
ALEXANDER ISLAND,Waterbody Island,-18.39758,125.34778
ALEXANDER POINT,Cape / Headland / Point,-33.90799,122.83004
ALFRED AND MARIE RANGE,Place Name,-24.78148,125.88181
ALICE DOWNS,Homestead,-17.75653,127.93936
ALICE HILL,Mountain / Peak / Hill,-17.90124,127.82032
ALICE HILL,Mountain / Peak / Hill,-15.0259,128.48455
ALINJARRA,Place Name,-31.83414,115.87704
ALISON POINT,Cape / Headland / Point,-23.49378,113.76851
ALKIMOS,Place Name,-31.60811,115.67484
ALLANSON,Populated Place,-33.33588,116.0994
ALLEN SIDING,Place Name,-20.376,118.77337
ALLIGATOR HILL,Mountain / Peak / Hill,-18.26206,125.53456
ALMA ISLAND,Waterbody Island,-23.94598,115.78867
ALMA OUTCAMP,Place Name,-23.78055,115.82823
ALOA DOWNS,Homestead,-33.28344,121.49463
ALTONA,Homestead,-27.53886,119.98576
ALUMINA JUNCTION,Place Name,-32.64518,115.8885
AMAROO,Homestead,-33.14026,119.71394
AMAROO THORN,Homestead,-31.83186,118.43649
AMATANGOORA POINT,Cape / Headland / Point,-16.73752,123.13264
AMBANIA,Place Name,-28.68299,115.11164
AMBERGATE,Place Name,-33.70637,115.32627
AMERILLUP,Homestead,-34.5939,117.31159
AMERY,Place Name,-31.15204,117.08831
AMHERST POINT,Cape / Headland / Point,-23.56021,113.7129
AMIENS HILL,Mountain / Peak / Hill,-31.22079,116.34014
AMPHION,Place Name,-32.75427,116.20531
AMPORT HILL,Mountain / Peak / Hill,-31.29953,116.27119
AMUR POINT,Cape / Headland / Point,-17.23994,123.61936
AMY GILES ROCKS,Place Name,-25.89413,128.52516
AMY ROCKS,Place Name,-27.8775,125.32407
ANCHOR HILL,Mountain / Peak / Hill,-20.62866,117.74298
ANCHOR HILL,Mountain / Peak / Hill,-24.8544,113.62343
ANCHORAGE BAY,Bay / Inlet / Cove,-30.05682,114.96263
ANDERDON ISLANDS,Place Name,-14.92951,125.19809
ANDERSON ROCKS,Place Name,-32.1669,118.85411
ANGAS HILLS,Place Name,-22.94314,128.10966
ANGUS DOWNS,Homestead,-34.66814,117.32853
ANJO HILL,Mountain / Peak / Hill,-13.95174,126.56428
ANJO PENINSULA,Place Name,-13.97316,126.51941
ANJO POINT,Cape / Headland / Point,-13.95358,126.57694
ANKETELL,Homestead,-28.02812,118.85155
ANKETELL HILLS,Mountain / Peak / Hill,-20.44437,122.52098
ANNA PLAINS,Homestead,-19.25159,121.48839
ANNANDALE,Place Name,-32.20171,116.81788
ANNE RANGE,Place Name,-24.76856,128.66907
ANNEAN,Homestead,-26.87572,118.17158
ANNES PASS,Pass,-32.8969,121.18525
ANNIE PEAK,Mountain / Peak / Hill,-33.85502,119.9808
ANT HILL,Mountain / Peak / Hill,-18.18357,128.23627
ANT HILL PEAK,Mountain / Peak / Hill,-22.08287,120.59496
ANT POINT,Cape / Headland / Point,-20.71169,115.46936
ANTHON LANDING,Place Name,-15.46277,128.10004
ANTRIM PLATEAU,Place Name,-18.12119,128.25619
ANUMARRAPIRTI,Homestead,-26.18378,128.64096
ANZAC HILL,Mountain / Peak / Hill,-31.20456,116.33221
APPA HILL,Mountain / Peak / Hill,-28.72753,114.77877
APPADAGENNA PEAKS,Mountain / Peak / Hill,-28.20704,114.54922
ARAGOON,Place Name,-14.42771,126.63442
ARALUEN,Place Name,-32.12451,116.09923
ARCHIKEELYA PADDOCK,Place Name,-17.41544,126.2168
ARCOONA,Place Name,-30.41827,122.15063
ARDAGH ROCKS,Place Name,-27.87755,123.30991
ARDATH,Place Name,-32.02787,118.09699
ARDINGLY,Place Name,-28.58367,115.44198
ARDJORIE,Homestead,-18.76427,123.71982
ARGYLE,Place Name,-33.5488,115.76531
ARGYLE DOWNS,Homestead,-16.50329,128.91815
ARGYLE HISTORIC HOMESTEAD,Homestead,-16.1096,128.74975
ARGYLE VILLAGE,Place Name,-16.68559,128.43253
ARID BAY,Bay / Inlet / Cove,-33.99106,123.15626
ARK POINT,Place Name,-33.32517,123.89788
ARMADALE,Place Name,-32.15029,116.01132
ARNOLD CREEK,Homestead,-25.9607,128.56271
ARRAMALL CAVE,Place Name,-29.48694,115.04303
ARRINO,Place Name,-29.43865,115.6269
ARRINO HILL,Mountain / Peak / Hill,-29.43761,115.66586
ARRONVALE,Homestead,-34.15584,117.34941
ARROWSMITH,Place Name,-29.57072,115.06783
ARTESIAN RANGE,Place Name,-16.47838,125.04982
ARTHUR HEAD,Cape / Headland / Point,-32.05518,115.73879
ARTHUR RIVER,Place Name,-33.33788,117.03509
ARTHUR RIVER OUTCAMP,Place Name,-24.70916,115.7488
ARTHURS KNOB,Mountain / Peak / Hill,-34.33638,118.36423
ARUBIDDY,Homestead,-31.80919,125.92533
ARUNDEL,Homestead,-34.47826,117.48278
ASHBURTON DOWNS,Homestead,-23.38684,117.03436
ASHBURTON ROAD,Place Name,-21.64188,114.96579
ASHENDON,Place Name,-32.21388,116.19123
ASHFIELD,Place Name,-31.9125,115.9345
ASHGROVE,Homestead,-33.45958,121.26825
ASHTON HILLS,Place Name,-24.92217,119.11705
ASHTON RANGE,Place Name,-15.16449,126.8322
ASPLIN,Place Name,-33.808,116.49225
ASSHLYN ISLANDS,Place Name,-16.13284,123.29033
ATHELSTON,Homestead,-34.54477,117.69855
ATLEY,Homestead,-28.2243,119.07348
ATTUNGA,Homestead,-33.26728,118.88684
AUGUST POINT,Cape / Headland / Point,-14.07564,126.21219
AUGUSTA,Populated Place,-34.31566,115.15922
AUGUSTUS SPRINGS ISLAND,Waterbody Island,-24.28675,116.87403
